FINLWT21,FINCBTAX,BLS_URBN,POPSIZE,EDUC_REF,EDUCA2,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,HISP_REF,HISP2,FAM_TYPE,MARITAL1,REGION,SMSASTAT,HIGH_EDU,EHOUSNGC,TOTEXPCQ,FOODCQ,TRANSCQ,HEALTHCQ,ENTERTCQ,EDUCACQ,TOBACCCQ,STUDFINX,IRAX,CUTENURE,FAM_SIZE,VEHQ,ROOMSQ,INC_HRS1,INC_HRS2,EARNCOMP,NO_EARNR,OCCUCOD1,OCCUCOD2,STATE,DIVISION,TOTXEST,CREDFINX,CREDITB,CREDITX,BUILDING,ST_HOUS,INT_PHON,INT_HOME
23790.073,46212,1,2,12,NA,50,.,2,NA,1,NA,2,NA,9,3,3,1,12,0,0,0,0,0,0,0,0,.,0,2,3,3,7,40,.,4,2,04,NA,48,7,-1141,.,NA,.,01,2,NA,NA
15168.345,11324,1,1,13,11,78,75,1,2,2,2,2,2,5,1,4,1,13,0,0,0,0,0,0,0,0,.,0,2,3,1,2,.,.,7,1,NA,NA,06,9,0,.,NA,.,01,2,NA,NA
31240.827,75000,1,4,12,NA,47,.,1,NA,1,NA,2,NA,9,3,3,1,12,0,0,0,0,0,0,0,0,.,.,1,2,3,3,50,.,1,1,11,NA,37,5,12428,.,NA,.,01,2,NA,NA
29451.558,21462,1,1,12,NA,70,.,2,NA,1,NA,1,NA,9,2,3,1,13,0,0,0,0,0,0,0,0,.,.,2,3,3,5,.,.,7,2,NA,NA,12,5,-3257,.,NA,.,01,2,NA,NA
17111.175,770,1,1,12,14,81,80,1,2,1,1,2,2,1,1,4,1,14,0,0,0,0,0,0,0,0,.,0,4,2,0,4,.,.,8,0,NA,NA,06,9,0,.,NA,.,05,2,NA,NA
13243.965,1462,1,1,11,NA,67,.,2,NA,2,NA,2,NA,8,5,1,1,11,0,0,0,0,0,0,0,0,.,0,4,1,0,3,.,.,8,0,NA,NA,34,2,-540,.,NA,.,08,2,NA,NA
26537.981,1462,2,4,11,NA,74,.,2,NA,2,NA,2,NA,8,2,3,2,11,0,0,0,0,0,0,0,0,.,.,2,1,2,6,.,.,8,0,NA,NA,51,5,0,.,NA,.,01,2,NA,NA
21098.675,32360,1,4,12,NA,33,.,2,NA,1,NA,1,NA,9,3,2,1,14,0,0,0,0,0,0,0,0,.,0,2,5,0,5,40,.,4,2,11,NA,55,3,-8550,.,NA,.,09,2,NA,NA
22550.566,68420,1,2,16,16,57,87,2,1,1,1,2,2,1,1,4,1,16,0,0,0,0,0,0,0,0,.,.,1,2,1,6,10,.,1,1,03,NA,53,9,6817,.,NA,.,03,2,NA,NA
24009.429,37200,1,2,13,NA,42,.,2,NA,2,NA,2,NA,8,1,3,1,13,0,0,0,0,0,0,0,0,0,.,4,1,1,1,40,.,1,1,01,NA,51,5,5202,0,NA,2500,08,2,NA,NA
11105.208,25282,1,3,13,NA,72,.,2,NA,1,NA,2,NA,8,2,4,1,13,0,0,0,0,0,0,0,0,.,0,4,1,1,4,.,.,8,0,NA,NA,49,8,0,0,NA,.,05,2,NA,NA
23788.481,76000,1,5,15,12,29,30,2,1,1,1,2,2,2,1,3,2,15,0,0,0,0,0,0,0,0,0,.,1,4,3,4,.,40,5,1,NA,11,NA,7,4206,.,NA,.,01,2,NA,NA
